incident_id,resident_id,safehouse_id,incident_date,incident_type,severity,description,response_taken,resolved,resolution_date,reported_by,follow_up_required
1,1,4,2024-06-22,Medical,Medium,Medical incident reported on 2024-06-22,Response to medical,t,2024-07-01,Alma Pascual,f
103,3,1,2026-02-16,Runaway,High,Test,,t,2026-02-16,Elena Cruz,t
101,3,1,2026-02-16,Runaway,Medium,wer,wer,f,,Werrr,t
102,3,1,2026-02-16,SelfHarm,Critical,wer,wer,f,,Wer,t
56,32,6,2025-05-28,RunawayAttempt,High,RunawayAttempt incident reported on 2025-05-28,Response to runawayattempt,t,2025-06-06,Joy Rivera,t
57,32,6,2026-01-20,SelfHarm,Low,SelfHarm incident reported on 2026-01-20,Response to selfharm,f,,Liza Mendoza,t
58,33,7,2025-04-22,ConflictWithPeer,High,ConflictWithPeer incident reported on 2025-04-22,Response to conflictwithpeer,f,,Maria Santos,t
59,34,7,2024-01-03,RunawayAttempt,Low,RunawayAttempt incident reported on 2024-01-03,Response to runawayattempt,t,2024-01-15,Linda Perez,f
60,34,7,2023-08-13,Security,High,Security incident reported on 2023-08-13,Response to security,f,,Maria Santos,t
49,26,3,2024-09-04,RunawayAttempt,Medium,RunawayAttempt incident reported on 2024-09-04,Response to runawayattempt,t,2024-09-14,Elena Cruz,f
50,26,3,2023-11-15,SelfHarm,High,SelfHarm incident reported on 2023-11-15,Response to selfharm,t,2023-11-20,Joy Rivera,t
51,26,3,2024-06-04,Security,Low,Security incident reported on 2024-06-04,Response to security,t,2024-06-15,Grace Flores,f
52,28,3,2024-04-03,Behavioral,Low,Behavioral incident reported on 2024-04-03,Response to behavioral,t,2024-04-12,Grace Flores,f
53,30,5,2024-08-04,Behavioral,Medium,Behavioral incident reported on 2024-08-04,Response to behavioral,t,2024-08-06,Liza Mendoza,f
54,30,5,2025-08-07,RunawayAttempt,Medium,RunawayAttempt incident reported on 2025-08-07,Response to runawayattempt,f,,Esther Soriano,t
55,31,1,2024-01-19,Behavioral,Medium,Behavioral incident reported on 2024-01-19,Response to behavioral,t,2024-01-30,SW-18,f
35,19,4,2024-10-22,RunawayAttempt,Medium,RunawayAttempt incident reported on 2024-10-22,Response to runawayattempt,f,,Joy Rivera,t
61,35,3,2025-04-16,Behavioral,Low,Behavioral incident reported on 2025-04-16,Response to behavioral,f,,Sarah Aquino,t
62,35,3,2024-09-18,SelfHarm,Medium,SelfHarm incident reported on 2024-09-18,Response to selfharm,f,,SW-18,t
64,36,1,2025-11-11,SelfHarm,Medium,SelfHarm incident reported on 2025-11-11,Response to selfharm,t,2025-11-18,Joy Rivera,f
65,36,1,2023-04-08,SelfHarm,High,SelfHarm incident reported on 2023-04-08,Response to selfharm,f,,Sarah Aquino,t
157,83,1,2025-12-12,ConflictWithPeer,Low,Behavioral incident observed during group activity. Resident became agitated and needed de-escalation support from staff.,De-escalation techniques applied; counseling session scheduled,t,2025-12-19,Maria Santos,t
159,87,3,2026-02-04,ConflictWithPeer,Medium,Resident expressed distress and showed signs of self-harm ideation during evening check-in. Crisis protocol initiated.,De-escalation techniques applied; counseling session scheduled,t,2026-02-11,Ana Reyes,f
